Movement Id,Item Id,Canonical Name,Lot Id,From Location Id,To Location Id,Movement Type,Quantity,Movement At,Case Id,Source System
MOVE-20260708-000001,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,LOT-CONS-SAW_BLADE_CONMED_X_1_REF_5071_-02,N/A,LOC-STOCK-02,receipt,1,13/06/2026 12:03,,Manual Theatre Stocktake
MOVE-20260708-000002,INV-DISP-DISPOSABLE_DRILL_BIT_2_5MM,Disposable Drill Bit 2.5mm,LOT-DISP-DISPOSABLE_DRILL_BIT_2_5MM-02,N/A,LOC-STOCK-03, receipt ,5,28/06/2026 00:54,, Manual Theatre Stocktake 
MOVE-20260708-000003,INV-DRES-CREPE_BANDAGE,Crepe Bandage,LOT-DRES-CREPE_BANDAGE-01,LOC-STOCK-02,LOC-THEATRE-03,issue,3,06/07/2026 10:30,CASE-249812,Manual Theatre Stocktake
MOVE-20260708-000004,INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set,LOT-DISP-DISPOSABLE_CANNULA_SET-03,LOC-STOCK-04,LOC-THEATRE-01,issue,5,11/06/2026 21:05,CASE-247836,ScanTrack Theatre Inventory
MOVE-20260708-000005,INV-CONS-PULSE_LAVAGE_TIP,Pulse Lavage Tip,LOT-CONS-PULSE_LAVAGE_TIP-01,LOC-STOCK-01,LOC-THEATRE-04, issue ,1,22/06/2026 20:08,CASE-242501,ScanTrack Theatre Inventory
MOVE-20260708-000006,INV-CONS-LIGHT_HANDLE_COVERS,Light Handle Covers,LOT-CONS-LIGHT_HANDLE_COVERS-01,,LOC-STOCK-05, return ,4,05/07/2026 14:36,N/A, ERP Materials Management 
MOVE-20260708-000007,INV-IMPL-MALLEOLAR_SCREWS,Malleolar Screws,LOT-IMPL-MALLEOLAR_SCREWS-01,,LOC-STOCK-04, adjustment ,5,30/06/2026 18:08,,ERP Materials Management
MOVE-20260708-000008,INV-SUTU-ETHILON_4_0, Ethilon 4-0 ,LOT-SUTU-ETHILON_4_0-02,LOC-STOCK-04,LOC-THEATRE-04,issue, 8 ,22/06/2026 03:34,CASE-246412, Manual Theatre Stocktake 
MOVE-20260708-000009,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,LOT-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK-03,LOC-STOCK-04,LOC-THEATRE-03, issue ,5,29/06/2026 02:55,CASE-248978,Manual Theatre Stocktake
MOVE-20260708-000010,INV-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G,Optape x 1 (uses 2 around the glove on the ankle),LOT-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G-02,,LOC-STOCK-05, receipt , 1 ,24/06/2026 03:53,N/A,Manual Theatre Stocktake
MOVE-20260708-000011,INV-SUTU-VICRYL_3_0, Vicryl 3-0 ,LOT-SUTU-VICRYL_3_0-02,N/A,LOC-STOCK-04,receipt,3,17/06/2026 21:21,,ScanTrack Theatre Inventory
MOVE-20260708-000012,INV-IMPL-LAG_SCREW_KIT, Lag Screw Kit ,LOT-IMPL-LAG_SCREW_KIT-01,LOC-STOCK-04,LOC-THEATRE-02,issue,4,28/06/2026 01:45,CASE-243205,ScanTrack Theatre Inventory
MOVE-20260708-000013,INV-SUTU-VICRYL_2_0,Vicryl 2-0,LOT-SUTU-VICRYL_2_0-02,N/A,LOC-STOCK-03,receipt,2,01/07/2026 06:47,,Manual Theatre Stocktake
MOVE-20260708-000014,INV-IMPL-ANATOMIC_TIBIA_LOCKING_PLATE_S,Anatomic Tibia Locking Plate Set,LOT-IMPL-ANATOMIC_TIBIA_LOCKING_PLATE_S-04,LOC-STOCK-01,LOC-THEATRE-02,transfer,1,03/07/2026 15:06,,Manual Theatre Stocktake
MOVE-20260708-000015,INV-IMPL-HUMERAL_TRAY, Humeral Tray ,LOT-IMPL-HUMERAL_TRAY-02,N/A,LOC-STOCK-03,receipt,1,02/07/2026 15:50,N/A, ScanTrack Theatre Inventory 
MOVE-20260708-000016,INV-SUTU-VICRYL_2_0, Vicryl 2-0 ,LOT-SUTU-VICRYL_2_0-01,LOC-STOCK-02,LOC-THEATRE-04,issue,3,09/06/2026 11:11,CASE-246619,ERP Materials Management
MOVE-20260708-000017,INV-INST-SMITH_NEPHEW_R3_ACETABULAR_SYS,Smith & Nephew R3 Acetabular System,LOT-INST-SMITH_NEPHEW_R3_ACETABULAR_SYS-01,,LOC-STOCK-04,receipt,7,15/06/2026 18:18,,Manual Theatre Stocktake
MOVE-20260708-000018,INV-DRES-MELOLIN,Melolin,LOT-DRES-MELOLIN-02,LOC-STOCK-05,LOC-THEATRE-02,transfer,7,08/06/2026 00:44,, ERP Materials Management 
MOVE-20260708-000019,INV-IMPL-GLENOSPHERE_COMPONENT,Glenosphere Component,LOT-IMPL-GLENOSPHERE_COMPONENT-01,,LOC-STOCK-01,return, 7 ,25/06/2026 11:24,N/A,ScanTrack Theatre Inventory
MOVE-20260708-000020,INV-SUTU-VICRYL_3_0,Vicryl 3-0,LOT-SUTU-VICRYL_3_0-01,LOC-STOCK-01,LOC-THEATRE-01, issue ,2,02/07/2026 16:37,CASE-241353,ERP Materials Management
MOVE-20260708-000021,INV-IMPL-MALLEOLAR_SCREWS, Malleolar Screws ,LOT-IMPL-MALLEOLAR_SCREWS-02,LOC-STOCK-03,LOC-THEATRE-02,transfer, 1 ,11/06/2026 07:01,, ScanTrack Theatre Inventory 
MOVE-20260708-000022,INV-SUTU-MONOCRYL_3_0, Monocryl 3-0 ,LOT-SUTU-MONOCRYL_3_0-03,LOC-STOCK-04,LOC-THEATRE-01,issue,3,20/06/2026 12:37,CASE-247932,ScanTrack Theatre Inventory
