Substitution Rule Id,Preferred Item Id,Preferred Item Name,Substitute Item Id,Substitute Item Name,Substitution Type,Approval Required,Applies To Subspecialty,Clinical Notes
SUB-0001,INV-SUTU-NYLON_3_0, Nylon 3-0 ,INV-SUTU-VICRYL_1,Vicryl 1,compatible,N,Trauma, Equivalent product on current local contract. 
SUB-0002,INV-SUTU-MONOCRYL_4_0,Monocryl 4-0,INV-SUTU-ETHIBOND_EXCEL_5,Ethibond Excel #5,fallback,Yes,Trauma,Use only when preferred stock unavailable.
 SUB-0003 ,INV-SUTU-ETHILON_3_0,Ethilon 3-0,INV-SUTU-FIBERWIRE_5,FiberWire #5,fallback,N,Any,Use only when preferred stock unavailable.
SUB-0004,INV-SUTU-CLIPS,Clips,INV-SUTU-PROLENE_3_0,Prolene 3-0,fallback,Y,Trauma,Equivalent product on current local contract.
 SUB-0005 ,INV-SUTU-PDS_II_2_0,PDS II 2-0,INV-SUTU-VICRYL_1,Vicryl 1,equivalent,Y,Sports Medicine,Confirm with scrub practitioner before opening.
SUB-0006,INV-SUTU-ETHILON_4_0,Ethilon 4-0,INV-SUTU-NYLON_4_0,Nylon 4-0,fallback,No,Foot and Ankle,Confirm with scrub practitioner before opening.
SUB-0007,INV-SUTU-PDS_II_1,PDS II 1,INV-SUTU-ETHIBOND_EXCEL_5,Ethibond Excel #5, fallback ,Y, Foot and Ankle ,Confirm with scrub practitioner before opening.
SUB-0008,INV-SUTU-TI_CRON_2,Ti-Cron #2,INV-SUTU-PDS_II_0, PDS II 0 ,equivalent,No,Joint Replacement,Use only when preferred stock unavailable.
 SUB-0009 ,INV-SUTU-PROLENE_3_0,Prolene 3-0,INV-SUTU-PDS_II_2_0,PDS II 2-0,fallback,Y,Foot and Ankle,Requires surgeon approval for implant-adjacent use.
SUB-0010,INV-SUTU-VICRYL_2_0, Vicryl 2-0 ,INV-SUTU-PDS_II_0,PDS II 0,requires_approval,Y, Sports Medicine ,Equivalent product on current local contract.
SUB-0011,INV-SUTU-TIGERWIRE_2,TigerWire #2,INV-SUTU-TI_CRON_2,Ti-Cron #2,fallback,Yes,Hand Surgery,Requires surgeon approval for implant-adjacent use.
