Erp Item Code,Item Id,Item Description,Location Id,Qty On Hand,Qty Reserved,Qty Available,Unit Of Measure,Par Level,Reorder Point,Reorder Required,Supplier Id,Estimated Stock Value Gbp
INS-710385,INV-INST-ARTHREX_CUFF_REPAIR_KIT,Arthrex Cuff Repair Kit,LOC-STOCK-01,1, 0 , 1 ,tray, 12 , 4 ,Y,SUP-ARTHREX,"GBP 1,770.31"
INS-860182,INV-INST-BICEPS_TENODESIS_KIT,Biceps Tenodesis Kit,LOC-STOCK-03,5,1, 4 ,tray, 2 ,1,No, SUP-STRYKER ,"GBP 19,200.50"
INS-387907,INV-INST-CPCS_TOTAL_HIP_SYSTEM,CPCS Total Hip System,LOC-STOCK-04,3, 1 ,2, tray , 14 ,4,Y,SUP-DEPUY,"GBP 9,320.91"
INS-603026,INV-INST-CASPAR_RETRACTOR_SYSTEM,Caspar Retractor System,LOC-STOCK-03,9, 0 , 9 ,tray,6,2,No,SUP-STRYKER,"GBP 30,221.10"
INS-212915,INV-INST-CONMED_POWERTOOLS,Conmed PowerTools,LOC-STOCK-05, 6 , 5 ,1,tray, 8 ,2,Yes,SUP-SN,"GBP 6,121.56"
 INS-540250 ,INV-INST-CONMED_POWERTOOLS_WITH_TRINKLE,Conmed PowerTools with Trinkle,LOC-STOCK-04,1, 1 ,0,tray,8,3,Y,SUP-STRYKER,"GBP 1,962.99"
INS-534059,INV-INST-DEPUY_SYNTHES_TFNA_INSTRUMENT_,DePuy Synthes TFNA Instrument Tray,LOC-STOCK-04, 1 ,0,1,tray, 4 , 2 ,Yes,SUP-DEPUY,"GBP 2,418.67"
 INS-104537 ,INV-INST-HAND_ARTHROPLASTY_SET,Hand Arthroplasty Set,LOC-STOCK-01, 1 ,1, 0 ,tray,8,2,Y, SUP-ARTHREX ,"GBP 1,783.25"
 INS-416554 ,INV-INST-HERAEUS_CEMENT_GUN,Heraeus Cement Gun,LOC-STOCK-04,6,3,3, tray ,7,3,Y,SUP-SN,"GBP 3,305.64"
INS-725688,INV-INST-JOURNEY_II_BCS_KNEE_SYSTEM,JOURNEY II BCS Knee System,LOC-STOCK-02, 2 ,2,0,tray,2,1,Yes,SUP-SN,"GBP 1,455.10"
INS-223302,INV-INST-JUG,Jug,LOC-STOCK-05,8, 3 ,5,tray,3,1,No,SUP-STRYKER,"GBP 26,700.80"
INS-455066,INV-INST-LARGE_ORTHOPAEDIC_SET,Large Orthopaedic Set,LOC-STOCK-01, 2 , 2 ,0,tray,2,1,Yes,SUP-ARTHREX,"GBP 6,245.40"
INS-978068,INV-INST-MEDACTA_SHOULDER_SYSTEM_MSS,Medacta Shoulder System (MSS),LOC-STOCK-04,1, 0 , 1 ,tray,15,6,Yes, SUP-ARTHREX ,"GBP 3,027.03"
INS-738778,INV-INST-MICRO_DISCECTOMY_CURETTES_SET,Micro-discectomy Curettes Set,LOC-STOCK-02, 1 ,0, 1 ,tray, 6 ,2,Yes,SUP-SN,"GBP 3,309.20"
INS-345214,INV-INST-MINOR_HAND_INSTRUMENT_SET,Minor Hand Instrument Set,LOC-STOCK-02, 6 , 5 ,1,tray,8,3,Y,SUP-STRYKER,"GBP 13,228.14"
INS-130616,INV-INST-SMALL_BONE_SET, Small Bone Set ,LOC-STOCK-02,10,4, 6 ,tray,7, 3 ,No,SUP-DEPUY,"GBP 21,085.80"
INS-702882,INV-INST-SMALL_JOINT_ARTHROSCOPY_SET,Small Joint Arthroscopy Set,LOC-STOCK-04,6,2,4,tray,11,5,Y,SUP-STRYKER,"GBP 9,970.38"
INS-804054,INV-INST-SMITH_NEPHEW_R3_ACETABULAR_SYS,Smith & Nephew R3 Acetabular System,LOC-STOCK-04, 3 ,3,0,tray,3,1,Y,SUP-SN,"GBP 7,019.49"
INS-265939,INV-INST-SPLASH_BOWL, Splash Bowl ,LOC-STOCK-04,2,0, 2 ,tray,14,5,Yes,SUP-SN,"GBP 4,517.26"
 INS-636208 ,INV-INST-SYNTHES_LARGE_FRAGMENT_SET,Synthes Large Fragment Set,LOC-STOCK-01,10,4,6,tray,4,1,N, SUP-DEPUY ,"GBP 29,661.40"
 INS-698409 ,INV-INST-SYNTHES_SMALL_FRAGMENT_SET,Synthes Small Fragment Set,LOC-STOCK-03, 6 , 1 ,5,tray,3,1,N,SUP-DEPUY,"GBP 23,146.74"
INS-746080,INV-INST-ZIMMER_BIOMET_COMPREHENSIVE_SH,Zimmer Biomet Comprehensive Shoulder System,LOC-STOCK-02,10,4, 6 , tray , 2 , 1 ,No,SUP-ZIMMER,"GBP 14,560.60"
EQU-843844,INV-EQUI-ARTHREX_SYNERGY_UHD4_IMAGING_C, Arthrex Synergy UHD4 Imaging Console ,LOC-STOCK-03,3,3,0,device,3,1,Yes,SUP-ARTHREX,"GBP 18,057.75"
